No-Terminal,SEMICOLON,FUNCTION,IDENT,LPAREN,RPAREN,TYPE,LBRACE,RBRACE,INHERITS,ASSIGN,ARROW,COMMA,WHILE,FOR,IN,LET,COLON,IF,ELSE,ELIF,OR,AND,LT,GT,LE,GE,EQ,NEQ,IS,CONCAT,CONCAT_WS,PLUS,MINUS,MULT,DIV,MOD,POW,AS,NUMBER,STRING,TRUE,FALSE,NEW,SELF,BASE,DOT,ASSIGN_DESTRUCT,$
Program,,"Program -> TopLevel Program","Program -> TopLevel Program","Program -> TopLevel Program",,"Program -> TopLevel Program","Program -> TopLevel Program",,,,,,"Program -> TopLevel Program","Program -> TopLevel Program",,"Program -> TopLevel Program",,"Program -> TopLevel Program",,,,,,,,,,,,,,,"Program -> TopLevel Program",,,,,,"Program -> TopLevel Program","Program -> TopLevel Program","Program -> TopLevel Program","Program -> TopLevel Program","Program -> TopLevel Program","Program -> TopLevel Program","Program -> TopLevel Program",,,"Program -> ε"
TopLevel,,"TopLevel -> FunctionDef","TopLevel -> TerminatedStmt","TopLevel -> TerminatedStmt",,"TopLevel -> TypeDef","TopLevel -> TerminatedStmt",,,,,,"TopLevel -> TerminatedStmt","TopLevel -> TerminatedStmt",,"TopLevel -> TerminatedStmt",,"TopLevel -> TerminatedStmt",,,,,,,,,,,,,,,"TopLevel -> TerminatedStmt",,,,,,"TopLevel -> TerminatedStmt","TopLevel -> TerminatedStmt","TopLevel -> TerminatedStmt","TopLevel -> TerminatedStmt","TopLevel -> TerminatedStmt","TopLevel -> TerminatedStmt","TopLevel -> TerminatedStmt",,,
FunctionDef,,"FunctionDef -> FUNCTION IDENT LPAREN ArgIdList RPAREN TypeAnnotation FunctionBody",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TypeDef,,,,,,"TypeDef -> TYPE IDENT TypeParams TypeInheritance LBRACE TypeBody RBRACE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TerminatedStmt,,,"TerminatedStmt -> Stmt SEMICOLON","TerminatedStmt -> Stmt SEMICOLON",,,"TerminatedStmt -> Stmt SEMICOLON",,,,,,"TerminatedStmt -> Stmt SEMICOLON","TerminatedStmt -> Stmt SEMICOLON",,"TerminatedStmt -> Stmt SEMICOLON",,"TerminatedStmt -> Stmt SEMICOLON",,,,,,,,,,,,,,,"TerminatedStmt -> Stmt SEMICOLON",,,,,,"TerminatedStmt -> Stmt SEMICOLON","TerminatedStmt -> Stmt SEMICOLON","TerminatedStmt -> Stmt SEMICOLON","TerminatedStmt -> Stmt SEMICOLON","TerminatedStmt -> Stmt SEMICOLON","TerminatedStmt -> Stmt SEMICOLON","TerminatedStmt -> Stmt SEMICOLON",,,
Stmt,,,"Stmt -> Expr","Stmt -> Expr",,,"Stmt -> BlockStmt",,,,,,"Stmt -> WhileStmt","Stmt -> ForStmt",,"Stmt -> Expr",,"Stmt -> Expr",,,,,,,,,,,,,,,"Stmt -> Expr",,,,,,"Stmt -> Expr","Stmt -> Expr","Stmt -> Expr","Stmt -> Expr","Stmt -> Expr","Stmt -> Expr","Stmt -> Expr",,,
Expr,,,"Expr -> OrExpr","Expr -> OrExpr",,,,,,,,,,,,"Expr -> LetExpr",,"Expr -> IfExpr",,,,,,,,,,,,,,,"Expr -> OrExpr",,,,,,"Expr -> OrExpr","Expr -> OrExpr","Expr -> OrExpr","Expr -> OrExpr","Expr -> OrExpr","Expr -> OrExpr","Expr -> OrExpr",,,
WhileStmt,,,,,,,,,,,,,"WhileStmt -> WHILE Expr WhileBody",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ForStmt,,,,,,,,,,,,,,"ForStmt -> FOR LPAREN IDENT IN Expr RPAREN ForBody",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlockStmt,,,,,,,"BlockStmt -> LBRACE StmtList RBRACE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArgIdList,,,"ArgIdList -> ArgId ArgIdListTail",,"ArgIdList -> ε",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TypeAnnotation,"TypeAnnotation -> ε",,,,"TypeAnnotation -> ε",,"TypeAnnotation -> ε",,,"TypeAnnotation -> ε","TypeAnnotation -> ε","TypeAnnotation -> ε",,,,,"TypeAnnotation -> COLON IDENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FunctionBody,,,,,,,"FunctionBody -> BlockStmt",,,,"FunctionBody -> ARROW Expr SEMICOLON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TypeParams,,,,"TypeParams -> LPAREN ArgIdList RPAREN",,,"TypeParams -> ε",,"TypeParams -> ε",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TypeInheritance,,,,,,,"TypeInheritance -> ε",,"TypeInheritance -> INHERITS IDENT TypeBaseArgs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TypeBody,,,"TypeBody -> TypeMember TypeBody",,,,,"TypeBody -> ε",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TypeBaseArgs,,,,"TypeBaseArgs -> LPAREN ArgList RPAREN",,,"TypeBaseArgs -> ε",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArgList,,,"ArgList -> Expr ArgListTail","ArgList -> Expr ArgListTail","ArgList -> ε",,,,,,,,,,,"ArgList -> Expr ArgListTail",,"ArgList -> Expr ArgListTail",,,,,,,,,,,,,,,"ArgList -> Expr ArgListTail",,,,,,"ArgList -> Expr ArgListTail","ArgList -> Expr ArgListTail","ArgList -> Expr ArgListTail","ArgList -> Expr ArgListTail","ArgList -> Expr ArgListTail","ArgList -> Expr ArgListTail","ArgList -> Expr ArgListTail",,,
TypeMember,,,"TypeMember -> IDENT TypeMemberTail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TypeMemberTail,"TypeMemberTail -> TypeAnnotation TypeMemberTail'",,,"TypeMemberTail -> LPAREN ArgIdList RPAREN TypeAnnotation MethodBody",,,,,,"TypeMemberTail -> TypeAnnotation TypeMemberTail'",,,,,,,"TypeMemberTail -> TypeAnnotation TypeMemberTail'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TypeMemberTail',"TypeMemberTail' -> SEMICOLON",,,,,,,,,"TypeMemberTail' -> ASSIGN Expr SEMICOLON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MethodBody,,,,,,,"MethodBody -> BlockStmt",,,,"MethodBody -> ARROW Expr SEMICOLON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AttributeDef,,,"AttributeDef -> IDENT ASSIGN Expr SEMICOLON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MethodDef,,,"MethodDef -> IDENT LPAREN ArgIdList RPAREN FunctionBody",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArgId,,,"ArgId -> IDENT TypeAnnotation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArgIdListTail,,,,,"ArgIdListTail -> ε",,,,,,,"ArgIdListTail -> COMMA ArgId ArgIdListTail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WhileBody,,,"WhileBody -> Expr","WhileBody -> Expr",,,"WhileBody -> BlockStmt",,,,,,,,,"WhileBody -> Expr",,"WhileBody -> Expr",,,,,,,,,,,,,,,"WhileBody -> Expr",,,,,,"WhileBody -> Expr","WhileBody -> Expr","WhileBody -> Expr","WhileBody -> Expr","WhileBody -> Expr","WhileBody -> Expr","WhileBody -> Expr",,,
ForBody,,,"ForBody -> Expr","ForBody -> Expr",,,"ForBody -> BlockStmt",,,,,,,,,"ForBody -> Expr",,"ForBody -> Expr",,,,,,,,,,,,,,,"ForBody -> Expr",,,,,,"ForBody -> Expr","ForBody -> Expr","ForBody -> Expr","ForBody -> Expr","ForBody -> Expr","ForBody -> Expr","ForBody -> Expr",,,
StmtList,,,"StmtList -> TerminatedStmt StmtList","StmtList -> TerminatedStmt StmtList",,,"StmtList -> TerminatedStmt StmtList","StmtList -> ε",,,,,"StmtList -> TerminatedStmt StmtList","StmtList -> TerminatedStmt StmtList",,"StmtList -> TerminatedStmt StmtList",,"StmtList -> TerminatedStmt StmtList",,,,,,,,,,,,,,,"StmtList -> TerminatedStmt StmtList",,,,,,"StmtList -> TerminatedStmt StmtList","StmtList -> TerminatedStmt StmtList","StmtList -> TerminatedStmt StmtList","StmtList -> TerminatedStmt StmtList","StmtList -> TerminatedStmt StmtList","StmtList -> TerminatedStmt StmtList","StmtList -> TerminatedStmt StmtList",,,
OrExpr,,,"OrExpr -> AndExpr OrExpr'","OrExpr -> AndExpr OrExpr'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OrExpr -> AndExpr OrExpr'",,,,,,"OrExpr -> AndExpr OrExpr'","OrExpr -> AndExpr OrExpr'","OrExpr -> AndExpr OrExpr'","OrExpr -> AndExpr OrExpr'","OrExpr -> AndExpr OrExpr'","OrExpr -> AndExpr OrExpr'","OrExpr -> AndExpr OrExpr'",,,
IfExpr,,,,,,,,,,,,,,,,,,"IfExpr -> IF LPAREN Expr RPAREN IfBody ElifList ELSE IfBody",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LetExpr,,,,,,,,,,,,,,,,"LetExpr -> LET VarBindingList IN LetBody",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VarBindingList,,,"VarBindingList -> VarBinding VarBindingListTail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LetBody,,,"LetBody -> Expr","LetBody -> Expr",,,"LetBody -> BlockStmt",,,,,,"LetBody -> WhileStmt","LetBody -> ForStmt",,"LetBody -> Expr",,"LetBody -> Expr",,,,,,,,,,,,,,,"LetBody -> Expr",,,,,,"LetBody -> Expr","LetBody -> Expr","LetBody -> Expr","LetBody -> Expr","LetBody -> Expr","LetBody -> Expr","LetBody -> Expr",,,
VarBinding,,,"VarBinding -> IDENT TypeAnnotation ASSIGN Expr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VarBindingListTail,,,,,,,,,,,,"VarBindingListTail -> COMMA VarBinding VarBindingListTail",,,"VarBindingListTail -> ε",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfBody,,,"IfBody -> Expr","IfBody -> Expr",,,"IfBody -> BlockStmt",,,,,,,,,"IfBody -> Expr",,"IfBody -> Expr",,,,,,,,,,,,,,,"IfBody -> Expr",,,,,,"IfBody -> Expr","IfBody -> Expr","IfBody -> Expr","IfBody -> Expr","IfBody -> Expr","IfBody -> Expr","IfBody -> Expr",,,
ElifList,,,,,,,,,,,,,,,,,,,"ElifList -> ε","ElifList -> ElifBranch ElifList",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElifBranch,,,,,,,,,,,,,,,,,,,,"ElifBranch -> ELIF LPAREN Expr RPAREN IfBody",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AndExpr,,,"AndExpr -> CmpExpr AndExpr'","AndExpr -> CmpExpr AndExpr'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AndExpr -> CmpExpr AndExpr'",,,,,,"AndExpr -> CmpExpr AndExpr'","AndExpr -> CmpExpr AndExpr'","AndExpr -> CmpExpr AndExpr'","AndExpr -> CmpExpr AndExpr'","AndExpr -> CmpExpr AndExpr'","AndExpr -> CmpExpr AndExpr'","AndExpr -> CmpExpr AndExpr'",,,
OrExpr',"OrExpr' -> ε",,"OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> ε",,"OrExpr' -> ε",,,,,"OrExpr' -> ε",,,"OrExpr' -> ε","OrExpr' -> ε",,"OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> OR AndExpr OrExpr'","OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> ε","OrExpr' -> ε",,,
CmpExpr,,,"CmpExpr -> ConcatExpr CmpExpr'","CmpExpr -> ConcatExpr CmpExpr'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CmpExpr -> ConcatExpr CmpExpr'",,,,,,"CmpExpr -> ConcatExpr CmpExpr'","CmpExpr -> ConcatExpr CmpExpr'","CmpExpr -> ConcatExpr CmpExpr'","CmpExpr -> ConcatExpr CmpExpr'","CmpExpr -> ConcatExpr CmpExpr'","CmpExpr -> ConcatExpr CmpExpr'","CmpExpr -> ConcatExpr CmpExpr'",,,
AndExpr',"AndExpr' -> ε",,"AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> ε",,"AndExpr' -> ε",,,,,"AndExpr' -> ε",,,"AndExpr' -> ε","AndExpr' -> ε",,"AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> AND CmpExpr AndExpr'","AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> ε","AndExpr' -> ε",,,
ConcatExpr,,,"ConcatExpr -> AddExpr ConcatExpr'","ConcatExpr -> AddExpr ConcatExpr'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ConcatExpr -> AddExpr ConcatExpr'",,,,,,"ConcatExpr -> AddExpr ConcatExpr'","ConcatExpr -> AddExpr ConcatExpr'","ConcatExpr -> AddExpr ConcatExpr'","ConcatExpr -> AddExpr ConcatExpr'","ConcatExpr -> AddExpr ConcatExpr'","ConcatExpr -> AddExpr ConcatExpr'","ConcatExpr -> AddExpr ConcatExpr'",,,
CmpExpr',"CmpExpr' -> ε",,"CmpExpr' -> ε","CmpExpr' -> ε","CmpExpr' -> ε",,"CmpExpr' -> ε",,,,,"CmpExpr' -> ε",,,"CmpExpr' -> ε","CmpExpr' -> ε",,"CmpExpr' -> ε","CmpExpr' -> ε","CmpExpr' -> ε","CmpExpr' -> ε","CmpExpr' -> ε","CmpExpr' -> LT ConcatExpr CmpExpr'","CmpExpr' -> GT ConcatExpr CmpExpr'","CmpExpr' -> LE ConcatExpr CmpExpr'","CmpExpr' -> GE ConcatExpr CmpExpr'","CmpExpr' -> EQ ConcatExpr CmpExpr'","CmpExpr' -> NEQ ConcatExpr CmpExpr'","CmpExpr' -> IS IDENT CmpExpr'","CmpExpr' -> ε","CmpExpr' -> ε","CmpExpr' -> ε","CmpExpr' -> ε","CmpExpr' -> ε","CmpExpr' -> ε","CmpExpr' -> ε","CmpExpr' -> ε","CmpExpr' -> ε","CmpExpr' -> ε","CmpExpr' -> ε","CmpExpr' -> ε","CmpExpr' -> ε","CmpExpr' -> ε","CmpExpr' -> ε","CmpExpr' -> ε",,,
AddExpr,,,"AddExpr -> Term AddExpr'","AddExpr -> Term AddExpr'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AddExpr -> Term AddExpr'",,,,,,"AddExpr -> Term AddExpr'","AddExpr -> Term AddExpr'","AddExpr -> Term AddExpr'","AddExpr -> Term AddExpr'","AddExpr -> Term AddExpr'","AddExpr -> Term AddExpr'","AddExpr -> Term AddExpr'",,,
ConcatExpr',"ConcatExpr' -> ε",,"ConcatExpr' -> ε","ConcatExpr' -> ε","ConcatExpr' -> ε",,"ConcatExpr' -> ε",,,,,"ConcatExpr' -> ε",,,"ConcatExpr' -> ε","ConcatExpr' -> ε",,"ConcatExpr' -> ε","ConcatExpr' -> ε","ConcatExpr' -> ε","ConcatExpr' -> ε","ConcatExpr' -> ε","ConcatExpr' -> ε","ConcatExpr' -> ε","ConcatExpr' -> ε","ConcatExpr' -> ε","ConcatExpr' -> ε","ConcatExpr' -> ε","ConcatExpr' -> ε","ConcatExpr' -> CONCAT AddExpr ConcatExpr'","ConcatExpr' -> CONCAT_WS AddExpr ConcatExpr'","ConcatExpr' -> ε","ConcatExpr' -> ε","ConcatExpr' -> ε","ConcatExpr' -> ε","ConcatExpr' -> ε","ConcatExpr' -> ε","ConcatExpr' -> ε","ConcatExpr' -> ε","ConcatExpr' -> ε","ConcatExpr' -> ε","ConcatExpr' -> ε","ConcatExpr' -> ε","ConcatExpr' -> ε","ConcatExpr' -> ε",,,
Term,,,"Term -> Factor Term'","Term -> Factor Term'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Term -> Factor Term'",,,,,,"Term -> Factor Term'","Term -> Factor Term'","Term -> Factor Term'","Term -> Factor Term'","Term -> Factor Term'","Term -> Factor Term'","Term -> Factor Term'",,,
AddExpr',"AddExpr' -> ε",,"AddExpr' -> ε","AddExpr' -> ε","AddExpr' -> ε",,"AddExpr' -> ε",,,,,"AddExpr' -> ε",,,"AddExpr' -> ε","AddExpr' -> ε",,"AddExpr' -> ε","AddExpr' -> ε","AddExpr' -> ε","AddExpr' -> ε","AddExpr' -> ε","AddExpr' -> ε","AddExpr' -> ε","AddExpr' -> ε","AddExpr' -> ε","AddExpr' -> ε","AddExpr' -> ε","AddExpr' -> ε","AddExpr' -> ε","AddExpr' -> ε","AddExpr' -> PLUS Term AddExpr'","AddExpr' -> MINUS Term AddExpr'","AddExpr' -> ε","AddExpr' -> ε","AddExpr' -> ε","AddExpr' -> ε","AddExpr' -> ε","AddExpr' -> ε","AddExpr' -> ε","AddExpr' -> ε","AddExpr' -> ε","AddExpr' -> ε","AddExpr' -> ε","AddExpr' -> ε",,,
Factor,,,"Factor -> Power Factor'","Factor -> Power Factor'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Factor -> Power Factor'",,,,,,"Factor -> Power Factor'","Factor -> Power Factor'","Factor -> Power Factor'","Factor -> Power Factor'","Factor -> Power Factor'","Factor -> Power Factor'","Factor -> Power Factor'",,,
Term',"Term' -> ε",,"Term' -> ε","Term' -> ε","Term' -> ε",,"Term' -> ε",,,,,"Term' -> ε",,,"Term' -> ε","Term' -> ε",,"Term' -> ε","Term' -> ε","Term' -> ε","Term' -> ε","Term' -> ε","Term' -> ε","Term' -> ε","Term' -> ε","Term' -> ε","Term' -> ε","Term' -> ε","Term' -> ε","Term' -> ε","Term' -> ε","Term' -> ε","Term' -> ε","Term' -> MULT Factor Term'","Term' -> DIV Factor Term'","Term' -> MOD Factor Term'","Term' -> ε","Term' -> ε","Term' -> ε","Term' -> ε","Term' -> ε","Term' -> ε","Term' -> ε","Term' -> ε","Term' -> ε",,,
Power,,,"Power -> Unary","Power -> Unary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Power -> Unary",,,,,,"Power -> Unary","Power -> Unary","Power -> Unary","Power -> Unary","Power -> Unary","Power -> Unary","Power -> Unary",,,
Factor',"Factor' -> ε",,"Factor' -> ε","Factor' -> ε","Factor' -> ε",,"Factor' -> ε",,,,,"Factor' -> ε",,,"Factor' -> ε","Factor' -> ε",,"Factor' -> ε","Factor' -> ε","Factor' -> ε","Factor' -> ε","Factor' -> ε","Factor' -> ε","Factor' -> ε","Factor' -> ε","Factor' -> ε","Factor' -> ε","Factor' -> ε","Factor' -> ε","Factor' -> ε","Factor' -> ε","Factor' -> ε","Factor' -> ε","Factor' -> ε","Factor' -> ε","Factor' -> ε","Factor' -> POW Power Factor'","Factor' -> ε","Factor' -> ε","Factor' -> ε","Factor' -> ε","Factor' -> ε","Factor' -> ε","Factor' -> ε","Factor' -> ε",,,
Unary,,,"Unary -> Primary AsExpr","Unary -> Primary AsExpr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unary -> MINUS Unary",,,,,,"Unary -> Primary AsExpr","Unary -> Primary AsExpr","Unary -> Primary AsExpr","Unary -> Primary AsExpr","Unary -> Primary AsExpr","Unary -> Primary AsExpr","Unary -> Primary AsExpr",,,
Primary,,,"Primary -> IDENT PrimaryTail","Primary -> LPAREN Expr RPAREN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Primary -> NUMBER","Primary -> STRING","Primary -> TRUE","Primary -> FALSE","Primary -> NEW IDENT LPAREN ArgList RPAREN","Primary -> SELF PrimaryTail","Primary -> BASE LPAREN ArgList RPAREN",,,
AsExpr,"AsExpr -> ε",,"AsExpr -> ε","AsExpr -> ε","AsExpr -> ε",,"AsExpr -> ε",,,,,"AsExpr -> ε",,,"AsExpr -> ε","AsExpr -> ε",,"AsExpr -> ε","AsExpr -> ε","AsExpr -> ε","AsExpr -> ε","AsExpr -> ε","AsExpr -> ε","AsExpr -> ε","AsExpr -> ε","AsExpr -> ε","AsExpr -> ε","AsExpr -> ε","AsExpr -> ε","AsExpr -> ε","AsExpr -> ε","AsExpr -> ε","AsExpr -> ε","AsExpr -> ε","AsExpr -> ε","AsExpr -> ε","AsExpr -> ε","AsExpr -> AS IDENT AsExpr","AsExpr -> ε","AsExpr -> ε","AsExpr -> ε","AsExpr -> ε","AsExpr -> ε","AsExpr -> ε","AsExpr -> ε",,,
PrimaryTail,"PrimaryTail -> ε",,"PrimaryTail -> ε","PrimaryTail -> LPAREN ArgList RPAREN PrimaryTail","PrimaryTail -> ε",,"PrimaryTail -> ε",,,"PrimaryTail -> ASSIGN Expr",,"PrimaryTail -> ε",,,"PrimaryTail -> ε","PrimaryTail -> ε",,"PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> ε","PrimaryTail -> DOT IDENT PrimaryTail","PrimaryTail -> ASSIGN_DESTRUCT Expr",
ArgListTail,,,,,"ArgListTail -> ε",,,,,,,"ArgListTail -> COMMA Expr ArgListTail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
